#
# COVID-19 Country file (official WHO count)
# Country = Curacao
# Latitude = 12.0
# Population = 163.495
# Territory = 444.0
# LEB = 78.9
# DPA = 1000
# DPA65 = 750
# GDP = 19577.0
# GDP_PPP = 15000.0
# COVID-19 Mortality = 6.1
# First_Case = 2020_03_15
# First_Death = 2020_03_22
# Last_Case = 2020_03_22
# Last_Death = 2020_03_22
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_15	2	0
2020_03_16	2	0
2020_03_17	3	0
2020_03_18	3	0
2020_03_19	3	0
2020_03_20	3	0
2020_03_21	3	0
2020_03_22	3	1
2020_03_23	3	1
2020_03_24	4	1
2020_03_25	6	1
2020_03_26	6	1
2020_03_27	7	1
2020_03_28	7	1
2020_03_29	7	1
2020_03_30	7	1
2020_03_31	11	1
2020_04_01	11	1
2020_04_02	11	1
2020_04_03	11	1
2020_04_04	11	1
2020_04_05	11	1
2020_04_06	11	1
2020_04_07	13	1
2020_04_08	13	1
2020_04_09	14	1
2020_04_10	14	1
2020_04_11	14	1
2020_04_12	14	1
2020_04_13	14	1
2020_04_14	14	1
2020_04_15	14	1
2020_04_16	14	1
2020_04_17	14	1
2020_04_18	14	1
2020_04_19	14	1
2020_04_20	14	1
2020_04_21	14	1
2020_04_22	14	1
2020_04_23	14	1
2020_04_24	14	1
2020_04_25	14	1
2020_04_26	14	1
2020_04_27	14	1
2020_04_28	16	1
2020_04_29	16	1
2020_04_30	16	1
2020_05_01	16	1
2020_05_02	16	1
2020_05_03	16	1
2020_05_04	16	1
2020_05_05	16	1
2020_05_06	16	1
2020_05_07	16	1
2020_05_08	16	1
2020_05_09	16	1
2020_05_10	16	1
2020_05_11	16	1
2020_05_12	16	1
2020_05_13	16	1
2020_05_14	16	1
2020_05_15	16	1
2020_05_16	16	1
2020_05_17	16	1
2020_05_18	16	1
2020_05_19	16	1
2020_05_20	16	1
2020_05_21	16	1
2020_05_22	16	1
2020_05_23	16	1
2020_05_24	16	1
2020_05_25	17	1
2020_05_26	17	1
2020_05_27	18	1
2020_05_28	18	1
2020_05_29	20	1
2020_05_30	20	1
2020_05_31	20	1
2020_06_01	20	1
2020_06_02	20	1
2020_06_03	20	1
2020_06_04	20	1
2020_06_05	21	1
2020_06_06	21	1
2020_06_07	21	1
2020_06_08	21	1
2020_06_09	21	1
2020_06_10	21	1
2020_06_11	22	1
2020_06_12	22	1
2020_06_13	22	1
2020_06_14	22	1
2020_06_15	22	1
2020_06_16	22	1
2020_06_17	22	1
2020_06_18	23	1
2020_06_19	23	1
2020_06_20	23	1
2020_06_21	23	1
2020_06_22	23	1
2020_06_23	23	1
2020_06_24	24	1
2020_06_25	24	1
2020_06_26	24	1
2020_06_27	23	1
2020_06_28	23	1
2020_06_29	23	1
2020_06_30	24	1
2020_07_01	25	1
2020_07_02	25	1
2020_07_03	25	1
2020_07_04	25	1
2020_07_05	25	1
2020_07_06	25	1
2020_07_07	25	1
2020_07_08	25	1
2020_07_09	25	1
2020_07_10	25	1
2020_07_11	25	1
2020_07_12	25	1
2020_07_13	25	1
2020_07_14	26	1
2020_07_15	26	1
2020_07_16	26	1
2020_07_17	26	1
2020_07_18	28	1
2020_07_19	28	1
2020_07_20	28	1
2020_07_21	28	1
2020_07_22	28	1
2020_07_23	28	1
2020_07_24	28	1
2020_07_25	29	1
2020_07_26	29	1
2020_07_27	29	1
2020_07_28	29	1
2020_07_29	29	1
2020_07_30	29	1
2020_07_31	29	1
2020_08_01	29	1
2020_08_02	29	1
2020_08_03	29	1
2020_08_04	29	1
2020_08_05	29	1
2020_08_06	29	1
2020_08_07	31	1
2020_08_08	31	1
2020_08_09	31	1
2020_08_10	31	1
2020_08_11	32	1
2020_08_12	32	1
2020_08_13	32	1
2020_08_14	32	1
2020_08_15	32	1
2020_08_16	32	1
2020_08_17	32	1
2020_08_18	32	1
2020_08_19	32	1
2020_08_20	32	1
2020_08_21	32	1
2020_08_22	32	1
2020_08_23	37	1
