#
# COVID-19 Country file (official WHO count)
# Country = Rwanda
# Latitude = -2.0
# Population = 13087.173
# Territory = 26338.0
# LEB = 69.0
# DPA = 65000
# DPA65 = 20150
# GDP = 782.0
# GDP_PPP = 2331.0
# COVID-19 Mortality = 0.8
# First_Case = 2020_03_16
# First_Death = 2020_05_31
# Last_Case = 2020_05_31
# Last_Death = 2020_05_31
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_16	5	0
2020_03_17	7	0
2020_03_18	7	0
2020_03_19	11	0
2020_03_20	11	0
2020_03_21	11	0
2020_03_22	17	0
2020_03_23	17	0
2020_03_24	36	0
2020_03_25	40	0
2020_03_26	41	0
2020_03_27	50	0
2020_03_28	54	0
2020_03_29	60	0
2020_03_30	70	0
2020_03_31	70	0
2020_04_01	75	0
2020_04_02	82	0
2020_04_03	84	0
2020_04_04	89	0
2020_04_05	102	0
2020_04_06	102	0
2020_04_07	104	0
2020_04_08	105	0
2020_04_09	110	0
2020_04_10	113	0
2020_04_11	118	0
2020_04_12	120	0
2020_04_13	126	0
2020_04_14	127	0
2020_04_15	134	0
2020_04_16	136	0
2020_04_17	138	0
2020_04_18	138	0
2020_04_19	144	0
2020_04_20	147	0
2020_04_21	147	0
2020_04_22	150	0
2020_04_23	153	0
2020_04_24	154	0
2020_04_25	176	0
2020_04_26	183	0
2020_04_27	191	0
2020_04_28	207	0
2020_04_29	212	0
2020_04_30	225	0
2020_05_01	243	0
2020_05_02	249	0
2020_05_03	255	0
2020_05_04	259	0
2020_05_05	261	0
2020_05_06	261	0
2020_05_07	268	0
2020_05_08	271	0
2020_05_09	273	0
2020_05_10	280	0
2020_05_11	284	0
2020_05_12	285	0
2020_05_13	286	0
2020_05_14	287	0
2020_05_15	287	0
2020_05_16	287	0
2020_05_17	289	0
2020_05_18	292	0
2020_05_19	297	0
2020_05_20	308	0
2020_05_21	314	0
2020_05_22	320	0
2020_05_23	321	0
2020_05_24	325	0
2020_05_25	327	0
2020_05_26	336	0
2020_05_27	339	0
2020_05_28	346	0
2020_05_29	349	0
2020_05_30	355	0
2020_05_31	359	1
2020_06_01	370	1
2020_06_02	377	1
2020_06_03	384	2
2020_06_04	397	2
2020_06_05	410	2
2020_06_06	420	2
2020_06_07	431	2
2020_06_08	439	2
2020_06_09	451	2
2020_06_10	463	2
2020_06_11	476	2
2020_06_12	494	2
2020_06_13	510	2
2020_06_14	541	2
2020_06_15	582	2
2020_06_16	612	2
2020_06_17	636	2
2020_06_18	639	2
2020_06_19	646	2
2020_06_20	661	2
2020_06_21	702	2
2020_06_22	728	2
2020_06_23	787	2
2020_06_24	798	2
2020_06_25	830	2
2020_06_26	850	2
2020_06_27	858	2
2020_06_28	878	2
2020_06_29	900	2
2020_06_30	1001	2
2020_07_01	1025	2
2020_07_02	1042	3
2020_07_03	1063	3
2020_07_04	1081	3
2020_07_05	1092	3
2020_07_06	1105	3
2020_07_07	1113	3
2020_07_08	1172	3
2020_07_09	1194	3
2020_07_10	1210	3
2020_07_11	1252	3
2020_07_12	1299	3
2020_07_13	1337	4
2020_07_14	1378	4
2020_07_15	1416	4
2020_07_16	1435	4
2020_07_17	1473	4
2020_07_18	1485	4
2020_07_19	1539	5
2020_07_20	1582	5
2020_07_21	1629	5
2020_07_22	1655	5
2020_07_23	1689	5
2020_07_24	1710	5
2020_07_25	1729	5
2020_07_26	1729	5
2020_07_27	1823	5
2020_07_28	1879	5
2020_07_29	1926	5
2020_07_30	1963	5
2020_07_31	1994	5
2020_08_01	2022	5
2020_08_02	2042	5
2020_08_03	2062	5
2020_08_04	2092	5
2020_08_05	2099	5
2020_08_06	2104	5
2020_08_07	2111	5
2020_08_08	2128	5
2020_08_09	2134	6
2020_08_10	2140	7
2020_08_11	2152	7
2020_08_12	2171	7
2020_08_13	2189	8
2020_08_14	2200	8
2020_08_15	2200	8
2020_08_16	2352	8
2020_08_17	2428	8
2020_08_18	2504	8
2020_08_19	2580	8
2020_08_20	2656	8
2020_08_21	2732	8
2020_08_22	2808	8
2020_08_23	2889	11
