#
# COVID-19 Country file (official WHO count)
# Country = United Arab Emirates
# Latitude = 24.0
# Population = 9813.170
# Territory = 83600.0
# LEB = 78.0
# DPA = 15000
# DPA65 = 4500
# GDP = 40484.0
# GDP_PPP = 71239.0
# COVID-19 Mortality = 37.9
# First_Case = 2020_01_29
# First_Death = 2020_03_22
# Last_Case = 2020_03_22
# Last_Death = 2020_03_22
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_01_29	4	0
2020_01_30	4	0
2020_01_31	4	0
2020_02_01	4	0
2020_02_02	5	0
2020_02_03	5	0
2020_02_04	5	0
2020_02_05	5	0
2020_02_06	5	0
2020_02_07	5	0
2020_02_08	7	0
2020_02_09	7	0
2020_02_10	7	0
2020_02_11	8	0
2020_02_12	8	0
2020_02_13	8	0
2020_02_14	8	0
2020_02_15	8	0
2020_02_16	8	0
2020_02_17	9	0
2020_02_18	9	0
2020_02_19	9	0
2020_02_20	9	0
2020_02_21	9	0
2020_02_22	11	0
2020_02_23	13	0
2020_02_24	13	0
2020_02_25	13	0
2020_02_26	13	0
2020_02_27	13	0
2020_02_28	19	0
2020_02_29	19	0
2020_03_01	19	0
2020_03_02	21	0
2020_03_03	21	0
2020_03_04	27	0
2020_03_05	27	0
2020_03_06	27	0
2020_03_07	45	0
2020_03_08	45	0
2020_03_09	45	0
2020_03_10	59	0
2020_03_11	74	0
2020_03_12	74	0
2020_03_13	85	0
2020_03_14	85	0
2020_03_15	85	0
2020_03_16	98	0
2020_03_17	98	0
2020_03_18	98	0
2020_03_19	113	0
2020_03_20	140	0
2020_03_21	140	0
2020_03_22	153	2
2020_03_23	153	2
2020_03_24	198	2
2020_03_25	248	2
2020_03_26	333	2
2020_03_27	333	2
2020_03_28	405	2
2020_03_29	468	2
2020_03_30	570	3
2020_03_31	611	5
2020_04_01	664	6
2020_04_02	814	8
2020_04_03	1024	8
2020_04_04	1264	9
2020_04_05	1505	10
2020_04_06	1799	10
2020_04_07	2076	11
2020_04_08	2359	12
2020_04_09	2659	12
2020_04_10	2990	14
2020_04_11	3360	16
2020_04_12	3736	20
2020_04_13	4123	22
2020_04_14	4521	25
2020_04_15	4933	28
2020_04_16	5365	33
2020_04_17	5825	35
2020_04_18	6302	37
2020_04_19	6302	37
2020_04_20	6781	41
2020_04_21	7265	43
2020_04_22	7755	46
2020_04_23	8238	52
2020_04_24	8756	56
2020_04_25	9281	64
2020_04_26	9813	71
2020_04_27	10349	76
2020_04_28	10839	82
2020_04_29	11380	89
2020_04_30	11929	98
2020_05_01	12481	105
2020_05_02	13038	111
2020_05_03	13599	119
2020_05_04	14163	126
2020_05_05	14730	137
2020_05_06	15192	146
2020_05_07	15738	157
2020_05_08	16240	165
2020_05_09	16793	174
2020_05_10	17417	185
2020_05_11	18198	198
2020_05_12	18878	201
2020_05_13	19661	203
2020_05_14	20386	206
2020_05_15	21084	208
2020_05_16	21831	210
2020_05_17	22627	214
2020_05_18	23358	220
2020_05_19	25063	227
2020_05_20	25063	227
2020_05_21	26004	233
2020_05_22	26898	237
2020_05_23	27892	241
2020_05_24	28704	244
2020_05_25	29485	245
2020_05_26	30307	248
2020_05_27	31086	253
2020_05_28	31969	255
2020_05_29	32532	258
2020_05_30	33170	260
2020_05_31	33896	262
2020_06_01	34557	264
2020_06_02	35192	266
2020_06_03	35788	269
2020_06_04	36359	270
2020_06_05	37018	273
2020_06_06	37642	274
2020_06_07	38268	275
2020_06_08	38808	276
2020_06_09	39376	281
2020_06_10	39904	283
2020_06_11	40507	284
2020_06_12	40986	286
2020_06_13	41499	287
2020_06_14	41990	288
2020_06_15	42294	289
2020_06_16	42636	291
2020_06_17	42982	293
2020_06_18	43364	295
2020_06_19	43752	298
2020_06_20	44145	300
2020_06_21	44533	301
2020_06_22	44925	302
2020_06_23	45303	303
2020_06_24	45683	305
2020_06_25	46133	307
2020_06_26	46563	308
2020_06_27	46973	310
2020_06_28	47360	311
2020_06_29	47797	313
2020_06_30	48246	314
2020_07_01	48667	315
2020_07_02	49069	316
2020_07_03	49469	317
2020_07_04	50141	318
2020_07_05	50857	321
2020_07_06	51540	323
2020_07_07	52068	324
2020_07_08	52600	326
2020_07_09	53045	327
2020_07_10	53577	328
2020_07_11	54050	329
2020_07_12	54453	331
2020_07_13	54854	333
2020_07_14	55198	334
2020_07_15	55573	335
2020_07_16	55848	335
2020_07_17	56129	335
2020_07_18	56422	337
2020_07_19	56711	338
2020_07_20	56922	339
2020_07_21	57193	340
2020_07_22	57498	341
2020_07_23	57734	342
2020_07_24	57988	342
2020_07_25	58249	343
2020_07_26	58249	343
2020_07_27	58913	344
2020_07_28	59177	345
2020_07_29	59546	347
2020_07_30	59921	347
2020_07_31	60223	349
2020_08_01	60506	351
2020_08_02	60760	351
2020_08_03	60999	351
2020_08_04	61163	351
2020_08_05	61352	351
2020_08_06	61860	355
2020_08_07	61845	354
2020_08_08	62061	356
2020_08_09	62300	356
2020_08_10	62525	357
2020_08_11	62704	357
2020_08_12	62966	357
2020_08_13	63212	358
2020_08_14	63489	358
2020_08_15	63819	359
2020_08_16	64102	361
2020_08_17	64461	362
2020_08_18	64820	363
2020_08_19	65179	364
2020_08_20	65538	365
2020_08_21	65897	366
2020_08_22	66256	367
2020_08_23	66617	372
